config_name,lwe_dimension,glwe_dimension,polynomial_size,lwe_noise_tag,lwe_gaussian_std,lwe_tuniform_bound_log2,glwe_noise_tag,glwe_gaussian_std,glwe_tuniform_bound_log2,pbs_base_log,pbs_level,ks_base_log,ks_level,message_modulus,carry_modulus,max_noise_level,log2_p_fail,modulus_power_of_2_exponent,encryption_key_choice,ms_tag,ms_modulus_switch_zeros_count,ms_bound,ms_r_sigma_factor,ms_input_variance
SHORTINT_PARAM_MESSAGE_2_CARRY_2_KS_PBS_TUNIFORM_2M128,918,1,2048,1,0,45,1,0,17,23,1,4,4,4,4,5,-129.581,64,Big,2,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_1_CARRY_0_KS_PBS_GAUSSIAN_2M64,720,6,256,0,2.54054e-05,0,0,1.95244e-11,0,17,1,4,3,2,1,1,-64.612,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_1_CARRY_1_COMPACT_PK_KS_PBS_GAUSSIAN_2M64,781,4,512,0,8.86848e-06,0,0,2.84527e-15,0,23,1,4,3,2,2,3,-64.01,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_1_CARRY_1_COMPACT_PK_PBS_KS_GAUSSIAN_2M64,1024,4,512,0,1.33978e-07,0,0,2.84527e-15,0,23,1,7,2,2,2,3,-66.829,64,Small,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_1_CARRY_1_KS_PBS_GAUSSIAN_2M64,781,4,512,0,8.86848e-06,0,0,2.84527e-15,0,23,1,4,3,2,2,3,-64.01,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_1_CARRY_1_PBS_KS_GAUSSIAN_2M64,884,4,512,0,1.4999e-06,0,0,2.84527e-15,0,23,1,5,3,2,2,3,-64.05,64,Small,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_1_CARRY_2_COMPACT_PK_KS_PBS_GAUSSIAN_2M64,858,2,1024,0,2.349e-06,0,0,2.84527e-15,0,23,1,5,3,2,4,7,-64.415,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_1_CARRY_2_KS_PBS_GAUSSIAN_2M64,858,2,1024,0,2.349e-06,0,0,2.84527e-15,0,23,1,5,3,2,4,7,-64.415,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_1_CARRY_3_COMPACT_PK_KS_PBS_GAUSSIAN_2M64,859,1,2048,0,2.30882e-06,0,0,2.84527e-15,0,23,1,3,5,2,8,15,-64.088,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_1_CARRY_3_KS_PBS_GAUSSIAN_2M64,859,1,2048,0,2.30882e-06,0,0,2.84527e-15,0,23,1,3,5,2,8,15,-64.088,64,Big,0,0,0,0,0
